Thu May 22 00:58:14 2025    out.prof

         81000586 function calls (80994289 primitive calls) in 41.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     95/1    0.000    0.000   41.105   41.105 {built-in method builtins.exec}
        1    0.000    0.000   41.105   41.105 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\main.py:7(run)
        1    0.183    0.183   41.077   41.077 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\game.py:114(mainloop)
     6161   12.369    0.002   30.459    0.005 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\world.py:428(update)
 16531488   11.677    0.000   11.677    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
 17351464    3.075    0.000    4.686    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\world.py:68(bnorm)
   460952    1.418    0.000    3.485    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\world.py:114(get_blocks_around)
     6161    2.931    0.000    2.931    0.000 {method 'tick' of 'pygame.time.Clock' objects}
     6161    0.012    0.000    2.773    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\player.py:100(update)
     6161    0.106    0.000    2.564    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\player.py:266(move)
     6161    0.027    0.000    1.652    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\game.py:64(process_systems)
 17351807    1.610    0.000    1.610    0.000 {method 'split' of 'str' objects}
 16392133    1.387    0.000    1.387    0.000 {method 'append' of 'list' objects}
     6161    0.074    0.000    1.206    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\entities.py:221(process)
     6161    0.038    0.000    1.019    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\game.py:75(send_data_to_shader)
   119072    0.190    0.000    0.907    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgbasics.py:643(write)
    12322    0.021    0.000    0.863    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgshaders.py:34(send_surf)
   421722    0.105    0.000    0.841    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\blocks.py:28(nbwand)
    12322    0.026    0.000    0.785    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgshaders.py:27(_surf_to_tex)
     6161    0.757    0.000    0.757    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
   421760    0.321    0.000    0.737    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\enum.py:1561(__and__)
    12322    0.007    0.000    0.662    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\moderngl\__init__.py:701(write)
    12322    0.654    0.000    0.654    0.000 {method 'write' of 'mgl.Texture' objects}
   119072    0.550    0.000    0.550    0.000 {method 'render' of 'pygame.font.Font' objects}
  1475534    0.403    0.000    0.403    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\world.py:156(correct_tile)
     6161    0.391    0.000    0.391    0.000 {built-in method pygame.event.get}
  1049121    0.231    0.000    0.362    0.000 {built-in method builtins.all}
